category_name,product_title,original_price,discount_price,dicount_rate
여행/티켓,[추가할인] 제주렌트카 완전/고급자차포함 특가! 전차량금연&후방카메라! 야간인수무료(~22시),12000,12000,
여행/티켓,오크밸리리조트(강원도/오크밸리/오크밸리리조트/원주여행/콘도추천/리조트/추천원주/콘도예약/콘도할인/당일예약/강원도숙소/가족여행),85400,79000,
여행/티켓,롤링힐스호텔(화성호텔/롤링힐스뷔페/화성롤링힐스호텔/경기롤링힐스호텔/가족호텔/화성롤링힐스호텔/특급호텔할인/가족수영장/화성호텔/경기호텔/호텔예약/경기도호텔/롤링힐스조식),155000,145000,
여행/티켓,제주도 렌터카 완전자차포함가 ~4/28 (신차조아/신차 블랙박스후방카메라/전차종금연/최신형/제주도 렌트카),17500,14900,
전체,[동원] 라이트 85g x 20캔 (외 고추참치 or 참치콘 중 택1) + 마요네즈or리얼킹or구구마우유죽or카놀라유),21600,15980,
스포츠/레저,[블랙야크&키즈] S/S 시즌 자켓&티셔츠 외 의류 스페셜혜택,14900,14900,
도서,15%추가쿠폰! [그린키즈] 홈스쿨링 워크북/놀이북세트 특가!,6900,6900,
여행/티켓,제주도렌트카 완전자차 한진렌터카 자차한도무제한,10000,7900,
여행/티켓,[강원] 태백선 눈꽃열차(영월~고한)+영월(선암마을/선돌/청령포) 당일버스여행/겨울눈꽃여행/ 서울경기出,31900,25900,
여행/티켓,[2~3월요금인하/제주 제주로] 전차종 후방카메라/경차 소형 준중형 중형~20년4월27일/고급자차포함가/신차최다보유/제주도 렌터카/제주로렌트카/신차,14900,12400,
가전,"[타임딜][쿠폰가15,840원]][유닉스] 신제품 로맨틱핑크 이온헤어드라이어 UN-B1613",22000,22000,
전체,[워너비20%쿠폰+투썸1만원]팸퍼스 베이비드라이 팬티/밴드 기저귀 2박스,106800,99800,
전체,"[타임딜] [배송비체험] 라네즈 래디언C X 레모나 짝꿍KIT, 6000명 선/착/순 체험단!",2500,2500,
전체,"[의약외품] 디펜스 프리미엄 손소독제 60mlx2개,3개 에탄올손세정제 / 휴대용청결제 유해균제거 알로에보습",11900,5900,
스포츠/레저,멜킨 트램폴린 점핑 운동 다이어트 방방이 유아 성인 트렘폴린,35000,30800,
스포츠/레저,[웨스트우드] S/S 베스트상품 특가전,10000,10000,
스포츠/레저,멜킨스포츠 치닝디핑 가정용철봉 모음전 포스 마스터킹 턱걸이기구 실내철봉,129000,113520,
도서,[세이펜 정기공구] 세이펜 특별구성,176000,176000,
도서,(T멤버십15%추가+스프링노트.형광펜외)20년1학기 우등생해법.백점 세트.우공비.동아전과.완자.한오개세트 초등.만점왕 초등문제집,30000,27000,
도서,[세이펜] 전집 골라담기/ 세이펜적용 인기 전집,35000,35000,
자동차/취미,[타임딜] 사무용품 문구 100종 데스크매트 포스트잇 볼펜 계산기 인주 칼 매직 클립 스테플러 테이프,3490,2900,
여행/티켓,제주 마레보리조트 새해맞이 특별가 예약(제주도호텔/제주도리조트/서귀포리조트/애월리조트/협재펜션/한림/애월수영장리조트/애월숙박/제주도펜션/제주도항공권/제주도렌터카/애월),66000,57000,
여행/티켓,[10%추가할인] 전북 전주한옥마을 자유여행 당일여행 셔틀버스 / 전주먹방투어/경기전/자만벽화마을 /서울경기出,17900,15900,
여행/티켓,[10%추가할인] 강릉 정동심곡 바다부채길 해안트레킹+정동진+안목해변커피거리 당일여행/국내여행/서울경기出,26900,23900,
여행/티켓,[전남] 광양 매화축제+구례 산수유꽃축제 2020 당일여행 / 봄꽃/봄여행/꽃여행/봄꽃축제여행/ 서울경기出,27900,24900,
패션잡화,SOVO 여성구두 펌프스 단화 로퍼 스웨이드 플랫슈즈 블로퍼 슬리퍼,30900,27900,
가전,"[하나카드:1,399,000원] LG 공식판매점 트롬 5벌 스타일러 S5MBA 살균 탈취 건조",1611820,1499000,
가전,"[최종구매가: 1,394,070원] 2019년형 LG 올레드 TV OLED55B9FNA 55인치",1611820,1499000,
가전,갤럭시 버즈 플러스 블루투스이어폰 SM-R175 / AKG튜닝 완전 무선이어폰,186770,179300,
가전,11번가 단독! 노비타 생활방수비데 BD-N310T {사은품 증정},139000,119000,
뷰티,"[타임딜] [배송비체험] 라네즈 래디언C X 레모나 짝꿍KIT, 6000명 선/착/순 체험단!",2500,2500,
가구/홈데코,시디즈 베스트셀러 TOP8 초특가 탭/링고/T30/T40/T50,147750,139900,
디지털,[사전판매 카드12%쿠폰] 삼성자급제 갤럭시 S20 / S20+ / S20 Ultra 사전판매 런칭! LTE/5G 유심호환,1248500,1248500,
e쿠폰/상품권,"[프로모션] Btv B포인트 30,000 p",23100,23100,
생활주방,"[의약외품] 디펜스 프리미엄 손소독제 60mlx2개,3개 에탄올손세정제 / 휴대용청결제 유해균제거 알로에보습",11900,5900,
전체,[모나리자] 보타닉포레 3겹 27M 30롤 3개 총90롤 천연펄프 화장지 휴지,33300,33300,
전체,[삼진어묵] 1953년부터 이어온 전통부산어묵 간식/반찬/어묵탕 골라담기,2000,1440,
전체,[워너비 10%+25%쿠폰+CGV] 질레트 대용량 모음,45500,45500,
전체,[한정수량] 베베숲 손소독제 핸드워시 네이처골드,12900,12130,
스포츠/레저,아디다스/나이키 외 신학기 스포츠패션 총집합,13900,13900,
스포츠/레저,최신상 NEW 숀리엑스바이크 x10 엑스텐 실내자전거/전신유산소운동/헬스자전거,179100,179100,
스포츠/레저,엑사이더 접이식 헬스자전거 CF-918B 실내자전거 헬스기구 엑스바이크,102150,89900,
도서,[T멤15%할인+사은품] 2020년 초등1.2학기 문제집/우등생해법수학/셀파해법수학/우공비/백점맞는수학/쎈수학/개념원리/디딤돌 국어.수학.사회.과학.영어.예체능 학년별 선택,14000,12600,
도서,T멤15%+사은품] 2020년 우등생해법 시리즈/백점맞는 시리즈/우공비 문제집/동아전과/우등생전과/쎈수학 세트 1.2.3.4.5.6학년 선택구매,37800,37800,
도서,T멤15%+사은품] 기적의계산법/기적의한글학습/기적의한글쓰기/기적의받아쓰기/기적의독서논술/팩토/소마셈/원리셈/세토독/기탄,37000,37000,
자동차/취미,[아이스타] 원목 연필/색연필꽂이,9900,9900,
자동차/취미,업계를 리드하는 기업 3sk택배박스!,33220,29900,
자동차/취미,[박스포유] 18시마감/ 당일출고/ 택배박스,32770,29500,
자동차/취미,[멀티탭 48종 1+1] 개별형/접지형/절전형/T형/2구/3구,5600,5600,
여행/티켓,[전남] 광양 매화축제 2020 당일여행 / 봄꽃/봄여행/꽃여행/섬진강매화축제/국내봄꽃축제여행/ 서울경기出,27900,24900,
여행/티켓,[부산] 명소탐방+먹방투어+야경 역무박여행 / 국제시장/흰여울문화마을/부산여행/국내여행/서울경기出,38900,34900,
여행/티켓,제주 노리매매화공원/제주여행코스 추천,3900,3500,
패션잡화,루이비통/고야드/생로랑/구찌/에르메스/샤넬/아울렛상품 가방 지갑 악세사리류 모음전,457000,457000,
패션잡화,"[슈펜] 신학기 필수템 5,000원부터! 최대 55%OFF!! 플랫/실내화/슬립온등",9900,9900,
패션잡화,[명품데이]샤넬/루이비통/구찌/생로랑 외 인기 아이템 추천 모음전,339000,339000,
가전,삼성공식파트너 JBL FLIP5 플립5 블루투스 스피커,140210,119000,
가전,필터형 정수기 브리타 마렐라2.4L/3.5L+필터1개월분(기본구성),37900,35900,
가전,삼성전자 갤럭시버즈 플러스 정품 레트로 TV 라디오 마이마이 케이스 모음전,38500,36960,
뷰티,[20%+17%]경수진 PICK 싸이닉! 전품목 1+1에 사은품까지,10000,9900,
뷰티,"#국민스킨, 라네즈 크림스킨 + 래디언C/레모나 짝꿍KIT + 드로잉메리 손거울 증정! 외 BEST!",28000,22400,
뷰티,[20%중복쿠폰] 헤드앤숄더 샴푸/린스 850mlx3개 + 3종 증정품,29900,20500,
가구/홈데코,[일룸] 학생 책상 BEST / 링키 및 링키스마트 책상 모음전 (14종 中 선택),319000,319000,
가구/홈데코,시디즈 링고 학생용의자+발받침(SNA509ACF/SNA509AV),157370,149000,
가구/홈데코,[시디즈] T40 시리즈 T402HLA 화이트쉘 메쉬의자,210170,199000,
디지털,갤럭시 A90 5G 128G,699600,399600,
디지털,갤럭시 S20 플러스 5G 256G SKT 단독혜택! 카드+T멤+SK pay 추가적립+경품,1353000,1353000,
디지털,갤럭시S20울트라/플러스/노트10/노트9/노트8/S10/아이폰11/프로/맥스/8/7 케이스&보호필름 특별 모음전,19900,10900,
e쿠폰/상품권,버거킹 커피 구독 서비스 30일권 아메리카노 30잔,4900,4900,
e쿠폰/상품권,[롯데시네마] 2인 2D 영화관람권,22000,15200,
e쿠폰/상품권,[롯데시네마] 1인 2D 영화관람권,11000,7900,
e쿠폰/상품권,[롯데시네마] 스위트콤보,9000,6500,
생활주방,[모나리자] 보타닉포레 3겹 27M 30롤 3개 총90롤 천연펄프 화장지 휴지,33300,33300,
생활주방,[워너비 10%+25%쿠폰+CGV] 질레트 대용량 모음,45500,45500,
생활주방,[다우니] 초고농축 섬유유연제 1Lx6개+다우니 세제450ml*2개 or 200ml*3개,25900,22900,
생활주방,100% 국내원자재 헤파원단 H11 H13 만들어쓰는 초간단 수제 마스크 미세먼지 황사 일회용마스크 DIY,7900,6800,
전체,[사전판매 카드12%쿠폰] 삼성자급제 갤럭시 S20 / S20+ / S20 Ultra 사전판매 런칭! LTE/5G 유심호환,1248500,1248500,
전체,[산과들에][10%+15%][랜덤사은품 증정] 하루 한줌 견과류 대용량 100봉 DIY 선물세트 Best 구성 8종 / 호두,28900,28900,
전체,[아임웰] 박민영의 닭가슴살 도시락/곤약밥/곤약떡볶이 외 전제품 골라담기,2220,2220,
전체,[26일 단하루] 자극없는 부드러움 러브 5팩+2팩 더/생리대/팬티라이너/입는 오버나이트/슈퍼롱/산모패드,12900,12900,
스포츠/레저,[아이더] 봄 패딩 바람막이 등산바지 외 이월 신규템 모음,17900,17900,
스포츠/레저,"[웨스트우드]봄 인기상품 점퍼/티셔츠/팬츠 6,900원 부터!",10000,10000,
스포츠/레저,[나이키] 나이키 운동화 신발 스니커즈 런닝화 단화 에어포스,89000,89000,
스포츠/레저,자모 스마트 워킹패드 자동속도조절 ZMWPA2 / 워킹머신 / 런닝머신 / 실내운동기 똑똑한 홈트레이닝 실내운동기구,599000,499000,
도서,"[오늘 하루! 15% Coupon 적용 126,650원] 레인보우 세이펜 R3-2000 32G + 정품충전기 특별가 세트",149000,149000,
도서,15%추가쿠폰! [천재교육] 지식 탐험 스티커북 3종 세트(동물탈것명화) - 세이펜 적용 가능,13000,13000,
도서,"[키즈하우스] 한글수 스티커북 (전 24권 세트_한글 12권,수학 12권) 엄마표 홈스쿨링/놀이처럼 배우는 한글 숫자",55000,27900,
남성의류,[25%쿠폰][공식] 폴햄x프로젝트엠 아이템 베스트 모음전! 최대 86%!!,10000,9900,
식품,[동원] 라이트 85g x 20캔 (외 고추참치 or 참치콘 중 택1) + 마요네즈or리얼킹or구구마우유죽or카놀라유),21600,15980,
출산/유아,[워너비20%쿠폰+투썸1만원]팸퍼스 베이비드라이 팬티/밴드 기저귀 2박스,106800,99800,
자동차/취미,스위스 밀리터리 알카라인 건전지 40알 20알 특가 AA AAA C D 6v 9v 12v,9880,8500,
자동차/취미,네임에이드 1+1 고해상도 방수네임스티커/이름스티커,890,840,
자동차/취미,[듀라셀] 알카라인 건전지 AA/AAA 20개x2개(40알),18900,18900,
자동차/취미,[빠른배송] 삼성 디지털 도어락 SHP-DH520/블루투스/카드키2개,159000,138250,
여행/티켓,[10%추가할인] 담양 죽녹원(대나무축제)+메타세쿼이아 가로수길+전주 한옥마을 당일여행 /국내여행 / 서울경기出,29900,26900,
여행/티켓,"소노문 델피노(구 델피노 골프 앤 리조트 A,B동/델피노A,B동/대명/대명콘도/오션플레이/아쿠아월드/델피노/설악대명/강원도리조트/아쿠아월드/설악산/강원/강원도/국내숙박추천/국내여행추천/숙박/국내숙박)",91000,82000,
여행/티켓,|제주|아쿠아플라넷+4랑이 담긴 4가지혜택|제주여행|제주아쿠아리움|제주수족관,25300,22900,
패션잡화,20년 신상 크록스/크록밴드/아동부츠/샌들/슬리퍼 모음,15900,15900,
패션잡화,[라코스테/프레드페리]신학기 맞이 스니커즈&샌들 총 집합 43종 택1,39000,39000,
패션잡화,[명품 7%+7%] 구찌/생로랑/비비안웨스트우드 명품 지갑/가방 인기 상품 제안전 최대 70%,115000,115000,
가전,브리타 정수기 모음전! 막스트라필터 3+1개월분,25500,23900,
가전,[엠지텍] 2020년 2월 최신형 아이언V65 블루투스이어폰/IPX8완전방수/배터리잔량표시/162시간재생 하이-튜닝드라이브,103120,99000,
가전,"[에어메이드]저소음 듀얼 대용량 에어프라이어 아이쿡 AF-700AS 7L/5.2L (대용량, 전기오븐, 튀김기)",129000,99000,
뷰티,[네이처리퍼블릭] 11번가 단독 행사!  (손소독제/틴트/파운데이션/퍼프선),20000,10000,
뷰티,이니스프리 핸드크림 1＋1 / 트루케어 특별전,24000,12000,
뷰티,[쿠폰10%+20%] 버츠비 친환경 새학기SET 외 BEST&NEW ~75%/구매금액,12000,7800,
가구/홈데코,[시디즈] T20 TAB+(탭플러스) TX200HF 메쉬의자,147750,139900,
가구/홈데코,[시디즈] T50 air 시리즈 T500HLDA 에어-화이트쉘 메쉬의자,336920,319000,
가구/홈데코,"[슬로우 토퍼 7.0] VIP 10% 단, 하루! 최저가 도전",298900,239900,
가구/홈데코,누적판매 1위 라폼 천연라텍스 매트리스 좋은 잠을드리는 토퍼매트리스 3.5-8.5cm 두께,139000,138000,
디지털,[LG전자] [최종혜택29만]G패드5 10.1 LMT605 WiFi 32G WiFi전용,346310,329000,
디지털,[7%다운로드+아카데미]인증점 삼성 갤럭시탭A 8.0 With S-Pen 2019 SM-P200 WiFi 32GB,300000,285000,
디지털,강화유리/풀커버 액정보호 방탄 필름 갤럭시노트10플러스 S10E 노트9 노트8 S9 아이폰11 프로맥스 XS V50 G,19000,14900,
생활주방,[26일 마트데이 10%+20%]크리넥스 3겹 천연펄프 데코소프트 화장지 27m 30롤X2팩/화장지/롤휴지/두루마리,38800,38800,
생활주방,[2/26일 마트데이 10%+20%]잘풀리는집 명작순수 30Mx30롤x2팩/휴지/화장지/각티슈/키친타올,32900,32900,
생활주방,NEW 순백 블루 3겹 화장지 27m 30롤 x 3팩,31900,31900,
전체,[다우니] 초고농축 섬유유연제 1Lx6개+다우니 세제450ml*2개 or 200ml*3개,25900,22900,
전체,100% 국내원자재 헤파원단 H11 H13 만들어쓰는 초간단 수제 마스크 미세먼지 황사 일회용마스크 DIY,7900,6800,
전체,"[타임딜][쿠폰가15,840원]][유닉스] 신제품 로맨틱핑크 이온헤어드라이어 UN-B1613",22000,22000,
스포츠/레저,멜킨 스텝퍼 2종 트위스트 하체 유산소 실내 운동기구,39900,32480,
스포츠/레저,[K2] 간절기 남녀 등산 자켓/조끼/바지/티셔츠 모음,23000,23000,
도서,T맴15%할인+선물) 기탄수학/기탄큰수학/기탄사고력수학/기탄한글/기탄국어/기탄영어/기탄한자/한글떼기/수셈/ABC/새국어/A~M 단계,25000,22500,
도서,15%추가쿠폰! 3~7세 두뇌발달 홈스쿨 워크북 + 과목별 신학기노트,26000,22500,
도서,15%추가쿠폰! [대교] 눈높이한자 - 어휘력과 공부 자신감 향상프로그램 (3/6개월),69000,69000,
남성의류,올젠/에디션 간절기/봄  셔츠/니트/점퍼/면바지,19900,19900,
남성의류,[에잇세컨즈]브랜드 SALE 봄맞이 아울렛 특가~70%OFF,25900,7900,
남성의류,크리스크리스티 2020봄 아우터/니트/셔츠/팬츠 100종 모음!,10000,10000,
식품,[삼진어묵] 1953년부터 이어온 전통부산어묵 간식/반찬/어묵탕 골라담기,2000,1440,
식품,[산과들에][10%+15%][랜덤사은품 증정] 하루 한줌 견과류 대용량 100봉 DIY 선물세트 Best 구성 8종 / 호두,28900,28900,
식품,[아임웰] 박민영의 닭가슴살 도시락/곤약밥/곤약떡볶이 외 전제품 골라담기,2220,2220,
출산/유아,[한정수량] 베베숲 손소독제 핸드워시 네이처골드,12900,12130,
출산/유아,[26일 단하루] 자극없는 부드러움 러브 5팩+2팩 더/생리대/팬티라이너/입는 오버나이트/슈퍼롱/산모패드,12900,12900,
출산/유아,[10%%+20%쿠폰] 앙블랑 아기물티슈 민트캡형 10팩,17400,17400,
출산/유아,[26일 마트데이 5%+20%]페넬로페 미라클 외 기저귀 특별전!,32800,32800,
자동차/취미,3M 원터치 테이프 디스펜서 / 스카치테이프 가위 박스테이프 포스트잇 스터디메이트,18800,18800,
자동차/취미,고급 반코팅장갑 100켤레 백/청/황코팅 코팅장갑 면장갑 목장갑,17000,14760,
자동차/취미,[신학기!15%쿠폰!]루미큐브 22종 모음 ! 모든 루미큐브의 종류가 다 있다 !,14900,14160,
여행/티켓,[강원] 태백산 천제단 눈꽃트레킹(+눈축제/석탄박물관) 당일여행 /눈꽃여행/겨울축제여행 / 서울경기出,23900,21900,
여행/티켓,[경기] 2/29출발확정 탄도항 누에섬/ 대부도 해솔길/ 안산식물원,13900,12900,
여행/티켓,무주 밀모빨강치마리조트 (전라도여행/국내리조트할인/국내여행추천/무주리조트/캥핑리조트/여행/국내숙박추천/국내여행추천/숙박/국내숙박),49500,46000,
패션잡화,[아키클래식 본사]새봄맞이 10+20% 더블다운!!브랜드 운동화 신발 어글리슈즈 여성운동화 남자 커플 봄신상,29900,29900,
패션잡화,[소다]20%쿠폰+11%T멤버십! 최대70% 남성화BEST 모음!,49000,49000,
패션잡화,[제니아]10%+20%쿠폰!남녀화 슈즈 모음전,28000,28000,
패션잡화,"[블랙마틴싯봉]20S/S 신상 및 이월 스니커즈, 슬립온 등 최대 81% OFF!!",34000,34000,
가전,삼성전자 그랑데 건조기 16kg DV16R8540KW + 추가구매 옵션,1360630,1279000,
가전,삼성전자 그랑데 건조기 14Kg DV14R8540KV 블랙 케비어,1266660,1159000,
가전,[공식인증점] 갤럭시 버즈 플러스 블루투스 이어폰 SM-R175/2WAY 스피커/통화품질향상,186770,179300,
가전,LG 포켓포토 PC389 포토프린터 즉석카메라 핸드폰 사진인화,159000,149460,
뷰티,[마트데이 10%+20%] 로레알파리 헤어팩/오일/샴푸/린스/세럼 BEST,11900,11900,
뷰티,[쿠폰10%+20%] 메이블린뉴욕 커버의정석 쿠션봉/핏미컨실러/이사배콜로썰마스카라 외 BEST 할인+증정,10000,9900,
뷰티,[쿠폰20%+T22%+적립]닥터자르트 선케어1+1 외 ~50% 브랜드세일,10000,9300,
뷰티,[~20%할인] 어퓨 졸업/입학/취업 축하 Up to 50% 선물 기획전,10000,5000,
가구/홈데코,[KCC] [KCC창호] 프리미엄 패키지 외부창/ 34평&비확장 실측 방문시 손세정제 증정!,6380000,4470000,
가구/홈데코,[일룸] 이타카네오 독서실 책상 (의자 불포함) / 1인 중고등 학생 스터디 학원 프리미엄 독서실,369000,369000,
가구/홈데코,더릭스 기절 마약매트리스 침대 접이식 바닥 토퍼 메모리폼 라텍스 3단 수면매트,42000,35700,
가구/홈데코,[일룸] 델타 소파 테이블 / 높이 조절 수납 리프트업 거실 탁자 리프트 쇼파 테이블,249000,249000,
디지털,"[샤오미] 샤오미 미밴드4 (블랙) 정품 한글판 국내정식발매 A/S가능 국내당일발송, 포토리뷰 붕괴 3rd 게임쿠폰 증정 행사",39440,31900,
디지털,[삼성전자] 갤럭시워치 액티브2 스마트워치,299200,244000,
디지털,iPad mini 5세대 (모델 / 색상 선택),510410,490000,
디지털,[로지텍] 로지텍코리아  스포트라이트 무선 프리젠터,99000,99000,
생활주방,오랄비 BEST [초미세모/토탈/잇몸케어] 칫솔 12입 모음,10900,8500,
생활주방,[꿀잠자기]뻑뻑한눈 촉촉하게 온열 아이마스크10매/노폐물흡수 발패치,12900,8900,
생활주방,[한예지] 화장지 3겹 30롤 3팩 모음전,25800,25800,
생활주방,[모나리자] 모나리자 미용티슈 250매 3입 4개 총12개 각티슈,20700,20700,
전체,[대천김] 해의락 대천김 20g 10봉 직불에 두 번 구운 전장김 26일 단 하루만! 결제고객에 한해 사은품 증정,10900,7900,
전체,"[쿠폰가20,970원][본사직영]고려은단 골드플러스 150정",33000,27400,
전체,[타임딜] 사무용품 문구 100종 데스크매트 포스트잇 볼펜 계산기 인주 칼 매직 클립 스테플러 테이프,3490,2900,
스포츠/레저,[공식] FILA S/S 신상 슈즈 외 신학기 패션 COLLETION,29000,29000,
스포츠/레저,반석스포츠 비스펙 치닝디핑 철봉 턱걸이 홈트,59800,59800,
스포츠/레저,[나이키 뉴발란스 아디다스 엠엘비 정품]빅볼청키 운동화 어글리슈즈 모음,55800,55800,
도서,15%추가쿠폰! 생생 만들기 3종 선택구매! 공룡시대/동물의 왕국/탈것나라,6000,6000,
도서,T맴15%할인+선물) 소마셈 P K A B C 단계 세트 수학연산 soma(개정판) / 유아 5세~초등3학년,47600,42840,
도서,[T멤버십+사은품] 2020 EBS 초등 기본서 만점왕 시리즈 1~6학년! 수학/국어/과학/사회/세트/단원평가,11500,10350,
남성의류,NII/크리스크리스티 봄 BEST 아우터/맨투맨/니트외 100종!,10000,10000,
남성의류,폴로 타미힐피거 캘빈클라인 갭 맨투맨/후드집업/후드티/가디건 패션 의류 모음전,12900,12900,
남성의류,[20%쿠폰]어커버 20s/s 신상 발매기념 특가! 후드/맨투맨/팬츠,42000,12900,
남성의류,추가25%[by파크랜드]보스트로/오스틴리드 봄 스타일 초이스/정장/자켓/셔츠/니트/팬츠,12900,12900,
식품,[대천김] 해의락 대천김 20g 10봉 직불에 두 번 구운 전장김 26일 단 하루만! 결제고객에 한해 사은품 증정,10900,7900,
식품,"[쿠폰가20,970원][본사직영]고려은단 골드플러스 150정",33000,27400,
식품,[호텔조리장 고동원 쉐프] 건강 보양식 사골도가니탕 600g*3개외/육개장/곰탕/갈비탕,14900,12700,
출산/유아,리틀스텔라 입점기념 최대 68%할인! 20년 S/S 봄신상 특가! 추가10%쿠폰까지 원피스/티셔츠/맨투맨/팬츠,21630,21630,
출산/유아,[워너비20%쿠폰+더스터1P]팸퍼스 베이비드라이 팬티/밴드 기저귀 1박스,59900,54900,
출산/유아,[02/26 단하루! 10+20%] 페넬로페 신학기에디션 피치베이지 캡형 외 특별전,18000,18000,
자동차/취미,[신학기15%쿠폰]삼익악기 신학기 준비물 교재악기 멜로디언/실로폰/리코더/리듬세트/오카리나,10000,10000,
