title,user,content
과거에서 온 한 남자입니다.,smc7****,"지금은 2015년 8월 14일. 내일은 광복절이죠.이영화가 나올때는 딱 고3 이네요. 아마 그때 다시 이글을 읽으며 이불킥하겠죠?이 영화를 볼수 있을지나 모르겠네요. 수능 공부하다, 사고나거나, 정은이 때매 세계전쟁이 일어나 대한민국이 ..."
"타노스, 당신을 또 잊지 않겠습니다.",mdzw****,이 영화는 아벤져수인지 어벤져스인지 하는 미제앞잡이 벌레 무리들에 대한 영화가 아닌우주를 진정으로 사랑하는 마음씨와 노블리스 오블리쥬의 정신을 가진 퓨어블러드 타노스가선지자의 깨우침을 알지 못 한 우매하고 멍청한 어벤져스...
(2회차 관람 후 추가)어벤져스 엔드게임이 졸작인 이유. 나의 1년의 기다림을 망침.,artw****,<!장문주의!스포일러!> 어제 용산 아이맥스로 2회차 관람하고 왔습니다. 역시 영화는 두 번 보면 다른 점도 보이네요. 결론적으로 별점부터 수정합니다. 2점 더 주고 4점 가겠습니다. 많은 댓글에서 속이 꼬였다고 하시는 분들도 많...
참나 네이버 일 똑바로 안하네여,tkeh****,"팬들도 많고 관심도 많이 쏠리는 영환데가장 중요한 영화제목도 제대로 못 올리네요여러분 어벤져스4 정식 명칭은 ""가망없음""입니다.네이버는 빠른 정정 부탁드립니다.-----------------------------------------------------------------..."
데드풀이 어떻게 욕해줄지 기대되는 영화: 오랜 팬에게 선사한 최고의 기만,frit****,"데드풀이 어떻게 욕해줄지 기대되는 영화:오랜 팬에게 선사한 최고의 기만 ""어벤져스: 엔드게임(2019)""<엔드게임>을 포함한 대부분의 MCU 영화의 스포일러를 포함하고 있습니다.나는 <아이언 맨 1>로 MCU를 좋아하게 되었다...."
어벤져스: 엔드게임 진솔한 후기(대량 스포 있음 영화를 보지 않으신 분은 보지마세요).,redg****,어벤져스: 엔드게임 진솔한 후기(대량 스포 있음 영화를 보지 않으신 분은 보지마세요.)영화 내용? 너무 재미있다 근데 왜 1점이냐고?'기대와 설렘이 없다.'내 인생에서 두번째로 재미있는 영화는 인피니티 워였다. 영화관에서 4번 인터넷...
"10년동안 쌓은 금자탑을 한방에 무너뜨린 졸작(설정붕, 벨붕, 스토리붕)",babo****," 엔드게임을 너무 기대하고 관람해서일까,, 마블영화를 지금까지 봐오면서이렇게 개연성이 없는 스토리가 낭자하고, 캐릭터 밸런스, 설정 붕괴가 심한 졸작은 처음이었다.영화에 나온 내용을 기초하여 어떤 부분이 영화를 졸작으로 만들었..."
[어벤져스 : 엔드게임] 기대치에는 못 미치네,humn****,[스포일러]썩 괜찮지만 그렇게까지 열광할만한 영화인지는 모르겠습니다. 특히 루소 형제의 MCU영화중에선 가장 아쉬운 영화였던것같습니다. 일단 MCU를 일단락짓는 영화로서의 역할은 독톡히 해내고 있습니다.히어로 외에도 정말 많은 조...
과거에서 왔습니다:) 기대합니다!,s220****," 4일 뒤 캡틴 아메리카:시빌 워가 개봉을 하는데요, 이 이후로 히어로들 사이가 어떻게 변하고 또 스토리가 어떻게 전개가 될 지 모르겠네요 ㅎㅎ 아무튼 타노스성님이 울트론처럼 극강너프를 먹거나 그냥 멍청한 보라돌이 괴물이 되지 않..."
어벤져스: 엔드게임 _ 우리 세대의 saga.(스포없음),full****,"영화를 보고나서 글을 쓰는게 정상적이지만, 이 영화는 그 기대감자체가 너무나도 크기에 이렇게 영화를 보기 전부터 적는다. 지난 10년간, 수 많은 영화들을 하나로 묶어낸 마블은 그 안에서도 다양한 변주를 해왔다. 개그감이 가미된 히..."
내가 여태까지 본 영화중에 가장 멋진 액션이고 가장 슬픈 영화였다.,n970****,.영화 제작진분들에게 정말 감사하다나에게 이런 멋진영화를 보여주게하고 이런 완벽한 영화를 선물해준거에 정말 감사하다..영화를보는내내 1초라도 놓칠 장면이 없을정도로 완벽한 퀄리티고 내가 어벤져스를보면서 눈물을 흘릴뻔했다는...
스포) 마지막 30분을 위한 개연성 없는 팬서비스 영화,kija****,"솔직히 이런 슈퍼 히어로 물 오락 영화에서개연성 따지기 시작하면 끝이 없기는 한데,이건 그래도 너무 선이 넘었음.솔직히 재밌다 재미없다는 사람의 호불호 영역이니 다 집어치우고백번 양보해도 이해할 수 없는 스토리 부분이 존재함.-..."
어벤져스2 엔딩크레딧에 나온 타노스와 인피니티 건틀릿,tkfd****,"어벤져스1편 그리고 갤럭시 오브 가디언즈에 보면 나오는 타노스입니다.어벤져스1에서는 엔딩크레딧에 나와서 얘는 누구인가 하는 궁금증을 유발하게 됩니다.타노스, 일명 타농부는 최강 최악의 적이지만아마 영화에서는 다소 약화된 모습..."
"어벤져스:엔드게임 - 평행세계와 의문점 및 궁금점, 기타등등",inte****,<br>양자역학...타임패러독스...평행세계...멀티유니버스...간단히 그림 표로 요약한 부분은 아래의 주소에서 확인https://blog.naver.com/intellectuel/221523889597[평행세계 정리]어벤져스 팀들이 간 과거가 각각 다른 세계입니...
★★스포★★소소한 어벤져스 엔드게임 주저리 분석,qkel****,"★★★★★스포주의★★★★★""I AM IRON MAN""0. 자금난에 허덕였던 마블을 전세계에 쩌렁쩌렁 알린              <아이언맨>그 시작의 마무리도 역시 <아이언맨>으로 끝낸 마블..1. 초반 5년만에 양자영역에서 빠져나온 엔트..."
ㅋㅋㅋㅋ후반빼고 줫노잼ㅋ,stua****, 인피니티워는 폭풍 몰아치듯강강강강이었는데엔드 게임은 약강약강 이었다초반에는 특히 조오토 루즈하다게다가 설정상 오류가 너무많다애초에 감독이 다르면 모르겠는데마이크를 몇번이나 잡은 루소형제들인데각본이 왜이런지 참;은퇴때...
어벤져스 엔드게임 보고난 후 리뷰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,aym9****,"조조로봤다. 한번 끄적여본다1.5년전에 손가락튕기고 반죽고, 다시 손가락튕기고 다시살려냈는데, 그만큼 시간이지났는데 스파이더맨 친구 돼지새끼는왜 그대로고 앤트맨딸은 ㅅㅂ 폭풍성장했냐? 이번에 스파영화개봉 예고편 보면 ㅅㅂ 다..."
후기-(스포주의) 절대 인피니티워를 기대하고 보지 마세요.,ohij****," 인피니티워를 기대하고 영화관을 찾으신다면 실망하실 겁니다.... 물론 마블 영화답게 중간중간 유머들은 정말 재밌었고, 시간여행이라는 소재를 이용해 그동안의 마블 영화들의 주요장면들을 되돌아보는 시간을 가졌다는 건 마블 팬들에..."
"재미는 있었지만, 따지고 보면 엉성한 영화: 아쉬웠던 점들.",tmdg****,"1. 지루한 초반 전개영화 초반은 인피니티 워 이후, 패배감과 상실감에 찌들어가는 히어로들의 모습을 보여줬다.히어로들의 이런 인적인 모습을 보여주는 것은 좋았으나,히어로들 한명한명의 괴로움을 굳이 일일이 열거해서 보여주다 보니..."
아주 짧게 엔드게임 정리해준다.,natt****,마치 손오공과 마인부우의 대결을 예고편에서 기대 존나 만빵채우게 해놓고결국은 드래곤볼로 용신살려서 손오공 존나 줘터지던거 체력채워서마인부우 이기고 폼잡고 끝내는 영화다. 스토리가 존나 잘 짜여진것도 아니고과거로 가서 미래...
어벤저스 엔드 게임이 주는 위화감에 대해.,blue****,이 영화가 이상하다는 기분이 들었다.의도는 알겠는데 뭔가 납득이 안 되는 느낌? 생각해보니 그건 인피니티 워와 엔드 게임 사이의 괴리감 때문에 그런 거더라.인피니티 워의 주인공은 영웅들이 아니라 타노스다. 타노스는 공리주의적 사...
마블의 정점은 끝났다,kidc****, 잘 만든 영화는 맞다.근데 재미는 없다.영화가 끝나고 나서 딱 생각난 영화는 레디 플레이어 원 가장 감동적이고 멋져야 하는 장면에서 레디 플레이어 원 그때 알았다 아~~ 이거 추억 팔이 영화 구나그런데 레디 플레이어 원 이걸 넘어서...
어벤져스:엔드게임에서 앞으로 등장 할 빌런or히어로가 예고되었다?,oham****,앤드게임 이후 나올 빌런or히어로가 앤드게임에 예고되었다?지금 어벤져스:앤드게임(이하 앤드게임)은 개봉 영화중 제일 핫하죠?그리고 앤드게임을 보고 나오신 분들은 재미와 감동을 한껏 느낌과 동시에이후 마블영화의 행보에 상당한 궁...
"어벤져스 그리고 마블 긴여정의 쉼표,",hyan****, 2008년 아이언맨으로 시작한 MCU(Marvel Cinematic Universe)의 10년이 끝을 맺었다. 다양한 히어로들의 스토리가 연결되면서 거대한 서사를 이루었다. 단순한 히어로영화가 마스터피스가 되는 순간이었다. 모든 마블영화들의 스토리가 ...
다 죽음 (스포),like****,"아니아니!!! 왜 다 죽냐고ㅠㅠㅠㅠㅠ 흐어어엉 초반 10분만에 로키 죽고, 뭐드라 그 토르 절친도 죽고마지막에  닥터도 죽고 홀랜드(스파이더맨) 도 죽는데 스타크한테 ""나 죽기 싫어요 토니""ㅠㅠ 이러고 죽는데 뭐냐고ㅠㅠㅠㅠㅠㅠㅠㅠㅠ..."
미래에서 왔습니다. 어벤져스4 스토리 알려드려요.(스포조심),rmsd****,"먼저 스포조심이라고 올려놨으니까 바로 본론으로 들어가겠습니다.어벤져스4의 전체적 스토리는 시간여행입니다.2018년도에는 마블 유니버스에서 어벤져스3 : 인피니티 워, 앤트맨 앤 와스프 이렇게 2가지 영화가 개봉을 앞두고 있습니다...."
미래에서 왔습니다.,uuzo****,"  1. 스타크가 인피니티 건틀렛을 니다벨리르에서 직접 만들기로 합니다. 2. 앤트맨의 양자영역 기술을 통해 와스프, 그리고 어벤져스3에서 살아남은 멤버들이 과거로 갑니다. 3. 토르와 캡틴 마블이 만나게 됩니다. 4. 캡틴아메리카는 묠..."
""" 이런분들은 영화관람을 삼가해주세요 """,ljw4****,애초에 마블에 관심없거나 그냥 대세라길래 영화한편 봐볼까??하는분들은 차라리 제발 보지마세요 옆동네에 다른 영화들 보세요보통 재미없다 기대보다 별로다 하는분들 보면인피티니워 이후로 그냥 남들보는 영화 따라보고싶어서전편 시...
[re] 어벤져스 엔드게임이 졸작인 이유. 나의 1년의 기다림을 망침.,jaeh****,많이 기대하셨을건데 실망하셨다니 아쉽네요.전 재밌게 봤는데 님도 재밌게 봤으면 좋았을듯 싶은데...전체적으로 영화를 받아들이시는 관점이 현실적인 가능성에 많이 염두를 두시는데그럴거면 SF or 히어로 무비는 안 보시는거 추천 할...
[후기]어벤져스: 정말 엔드라서 다행,goog****,트랜스포머: 최후의 기사보다는 조금 나았다러닝타임 길어서 혹시나 했는데 역시나였고 로건처럼 러닝 길다고 몰입감까지 쩔었던건 아니었다근데 어벤저스 광팬들은 뭐 만족할지 모르겠지만 영화 자체를 좋아하는 사람들에겐 이건 뭐 액션...
스포) 이딴게 루소가 만든거라고? 이게 어벤져스라고???,elle****,.......하....정말 대한민국 대중의 우매함을 또 목격한다일단 영화가 개판이라 하나둘씩 설명할건데 열받으면 내글 읽지말고 꺼져1. 타임패러독스장난하나 마블? 보다가 진짜 개 어이 없어서 속이 부글부글 했는데초반 브루스 배너가 타...
반쪽짜리 영화,guse****," 인피니티워 파트1, 2 중 파트2에 해당하는 영화. 제목을 바꿔 파트1은 그냥 인피니티워로 파트2는 아직 제목이 확정 되지 않은 상태. 인피니티워는 확실히 반쪽 영화.스토리상으로도 중간에서 끊길 뿐만 아니라빌런 입장에서도 히어로 입..."
1년만에 돌아온 영화 평론가 (팬분들에게 죄송합니다..),byeo****,여러분 안녕하십니까 위대한 쇼맨으로 데뷔했던 영화평론가가 복귀했습니다먼저 어벤져스 감독과 친분이 있어서 내용은 다 알지만 영화법 4조 5항 영화 관계자가 영화 개봉 전 시나리오나영화의 일부를 대중매체에 공개 시 벌금 5천만원 ...
"외국영화 어벤져스: 엔드게임 (Avengers: Endgame, 2019) 티저 예고편 - 한글 자막",koda****,"어벤져스: 엔드게임 (Avengers: Endgame, 2019) 티저 예고편 - 한글 자막출처 : https://tv.naver.com/v/4725480Avengers: Endgame | 어벤져스: 엔드게임  연출: 앤소니 루소, 조 루소 각본: 크리스토퍼 마커스, 스티븐 맥피리 출연: 로버..."
"어벤져스 앤드게임, 그러면 그렇지.. ",dlwl****,진짜... 개노잼...보다가 몇번을 졸았고.. 대체 언제끝나나 하면서엉댕이만 수십번 뒤척인듯아래부터 존나 걍 다 스포 ㅋ일단 캡틴마블 때문에 이 영화 보려고 하는 사람 있으면개뜯어말리고싶음분량 까메오보다 못한 수준.. 너구리보다 ...
감정적으로도 뛰어난 터치를 보여준 <어벤져스: 엔드게임>,zigm****,<어벤져스>시리즈의 마지막 작품이자 11년간 마블 시네마틱 유니버스(MCU)를 이끌어온 온 슈퍼히어로들과의 작별인사 <어벤져스: 엔드게임>이 24일 찾아왔다.2008년 <아이언맨>을 시작으로 22편에 달하는 긴 세계관을 ...
"어벤져스: 엔드게임 (Avengers: Endgame, 2019), 그 짧은 소감",soul****,"        어벤져스: 엔드게임      감독   안소니 루소, 조 루소   출연   로버트 다우니 주니어, 크리스 에반스, 크리스 헴스워스, 마크 러팔로, 스칼렛 요한슨, 제레미 레너, 폴 러드, 돈 ...   개봉   2019.04.24. 미국   평점         ..."
어벤져스:엔드게임 스포없는 감상평,s556****,개인적으로 역대 어벤져스 시리즈 중에 가장 재미있는 시리즈라고 생각 되어는 어벤져스:엔드게임을 스포를 당하기 전에 드디어 보고 왔습니다.             스타군단이 총 출동하는 그야말로 끝장 시리즈가 아니었나 생각 되어 집니다.  ...
어벤져스 : 엔드게임 // 그들은 우리이다.,anot****, 어벤져스 : 엔드게임 2019어벤져스 멤버들이 타노스를 이기기 위해서 넘어야 할 산은 총 두개였다. 하나는 인피니티 스톤을 모으는 것. 또 다른 하나는 타노스 일당들과 싸우는 것. 첫번째 산인 인피니티 스톤을 구하는 동안 재밌게도 소...
과거에서 왔습니다,gkfn****,현재 2015년입니다존나 아바타 4도 아니고어벤져스2 개봉하기까지 22일 남았습니다.22일 후에 2가 개봉하고그리고 4년후엔 이영화가 개봉하겠죠그때되면 배우들이 점점 늙어서 액션하기 힘들듯..로다주가 벌써 50임그때되면 54이네이거 시...
[스포주의] 영화 속 말이 안되는 설정,summ****,스포일러가 있기 때문에 노출되지 않도록 가림막으로 사용하는 문장. 스포일러가 있기 때문에 노출되지 않도록 가림막으로 사용하는 문장.스포일러가 있기 때문에 노출되지 않도록 가림막으로 사용하는 문장.스포일러가 있기 때문에 노출...
방금보고 후기남김 명불허전 엔드게임(절대스포안함)!!,good****,오전 11시 40분 상영작으로 방금 보고 왔다총 상영시간은 2시간 50분정도이고(실제 3시간은 아님) 쿠키영상은 없다 전체적으로 전편 스토리랑 자연스럽게 연결되고 각본도  잘 짜여져 있어서 뭔가 안정된 느낌이 강했고 중간중간   코믹요...
정말 정직한 리뷰 ★★★★★,next****,아빠!머스타드 2!...지~지지직...눈부셔!누구?...다 정리했다.난 균형자다.댕강!...내게 희망을 주지마.네가 필요해....그를 만나기 힘들거에요.맥주가 어딨더라....거기 누구 없어요?...아기 앤트맨?누가 내 바지에......그게 필요해요....
정말 최고네요 꼭봐주시길 바랍니다.,qsf6****,"Act 1.???- 캡틴 마블, 고립된 아이언맨과 함께 지구 도착- 살아남은 멤버들과 함께 타노스가 있는 행성으로 감.- 타노스 팔 짤리고, 목짤리고 사망 (토르가 죽임)   Act 2.???- 5년후, 아이언맨 + 페퍼포츠가 한적한 곳에서, 딸과함께 살..."
안 본 사람을 위한 리뷰. '최선의 영화'였습니다. 최대한 즐기시길 바라서 적어봅니다.,gauk****,"설정 오류에 실망하여 영화를 즐기지 못할 분이 적어지길 바라서 쓴 글입니다.부디 많은 분이 편견 없이, 까다로운 눈높이 없이, 이 영화를 최대한 즐기시길 바랍니다.요점은 '대부분의 설정 오류는 의도된 것이니, 괜히 찾지 말고 감독의..."
"월드타워 21관 , 4/30(화) 21:45분 D13번 앉아서 본 중딩새끼",jinu****,영화보기전에 숱한 스포들을 피해서 첫주 용아맥 예매실패하고 동네에 큰관이라 하길래 월드타워 갔는데(와이드하긴 하더라 ㅋㅋ 그래도 용아맥이 더 거대한느낌?)옆자리 중딩새끼의 1초전 대사스포는 막질못했다.혼잣말인지 옆자리 애비...
제발 영화관에서 조용히 좀 보자,wnsg****,아무리 자기 돈 내고 영화보는 곳이라지만 너만 돈 내고 영화 보는 게 아니다필자는 어벤져스 4dx 3d를 시청하러 갔는데 시작부터가 가관이었다옆자리에 만유인력이 강하실 거 같은 여성분이 한 분 앉으셨는데영화가 시작할 때부터 떡볶이...
소울스톤을 찾아서...,idso****,나는 그장소에 갔다.소울스톤을 얻을수 있다는..(이름은 모르겠다)빨간 해골바가지가 말했다니가 사랑하는 것을 그곳에 버려야 소울 스톤을 얻을수 있지..내가 사랑하는거 ?음..뭘 버릴까..한참을 생각하던 나는..이건 내가 가장 아끼는 ...
어벤져스 엔드게임 보기 전 꼭 기억해야 되는 점!,pure****, 여유를 두고 보려고 했습니다. 하지만 정말 못 참겠더군요. 여러 군데에서 스포를 막는다 하더라도 계속되어 귀에 들리는 이야기. 어벤져스 엔드게임 스포를 내 힘으로 다 막을 수 없으니 차라리 빠른 시일 내 영화를 보는 것이 맞겠다는...
[ *** 다들 그랬다! 아이언맨 처음 나왔을 때 *** ],newh****,"2008년 아이언맨 1처음 나왔을 때로다주가 누군지도 몰랐고 '마블 히어로'라는 개념도 일반 대중에겐 없었던 그 때는( 그때까진 국내에서 히어로하면 슈퍼맨 배트맨 스파이더맨~ 굳이 마블 DC 따지지 않음)다들 그랬다."" 그냥 볼 만한 SF..."
